Expression,"Familiarity (1 = low, 5 = high)",Familiarity SD,"Meaningfulness (1 = low, 5 = high)",Meaningfulness SD,"Literal Plausibility (1 = low, 5 = high)",Literal Plausibility SD,"Verb Relatedness (1 = low, 5 = high)",Verb Relatedness SD,"Noun Relatedness (1 = low, 5 = high)",Noun Relatedness SD,Global Decomposability Proportion,Normal Decomposability Proportion,Predictability of final word
He hedged his bets,2.13,1.33,2.83,1.64,1.5,0.68,1.86,0.83,4.31,0.71,0.55,0.7,0.29
He held his peace,3.23,1.33,3.93,1.4,1.5,1.45,3.13,1.11,3.65,1.26,0.79,0.54,0
He held his tongue,4.13,1.22,4.83,1.26,3.3,1.01,2.97,1.45,4.31,1.11,0.84,0.81,0.11
He held the fort,3.23,1.22,4.2,0.75,2.8,1.34,2.47,1.15,2.73,0.85,0.41,0.2,0
They hit a wall,3.87,0.94,4.53,0.48,4.13,1.23,2.17,0.94,3.53,1.14,0.75,0.32,0.04
He hit the books,4.73,1.22,5,1.19,3.83,1.12,1.63,1.38,4.47,0.97,0.76,0.73,0
He hit the bottle,3.53,1.43,4.47,0.86,4.23,0.9,1.67,0.8,4.77,0.63,0.67,0.7,0.04
She hit the ceiling,2.97,1.07,3.97,0.97,3.9,1.21,2.6,1.16,1.6,1.01,0.18,0.4,0.11
They hit the hay,3.57,0.64,4.07,0,3.6,1.29,1.57,0.93,2.27,0.97,0.21,0.38,0.21
It hit the headlines,3.97,1.22,4.67,0.82,1.97,1.28,2.2,1.02,4.62,1.33,0.87,0.73,0
They hit the road,4.27,0.45,4.73,0.18,3.1,1.22,1.73,1.17,3.9,1.05,0.64,0.75,0.32
He hit the roof,3.97,1.41,4.53,1.36,3.8,1.19,3.2,1.01,1.5,1.26,0.16,0.5,0.04
She hit the sack,4.73,1.17,4.97,0.83,3.97,1.12,2.13,0.74,3,0.99,0.41,0.5,0.21
It hit the spot,4.5,1.13,4.8,0.92,4.07,1.38,1.77,1.32,2.47,0.68,0.57,0.33,0.79
He itched for trouble,3.1,1.21,4.4,0.93,1.38,0.49,2.17,1.29,4.47,1.14,0.71,0.57,0
He jumped the queue,3.1,1.4,4.07,1.22,3.2,1.52,3.28,1.19,4.41,1.18,0.91,0.86,0
She kept her figure,3.7,1.09,4.53,0.97,3.17,1.34,4.14,1.16,4.69,0.47,0.94,0.93,0
She kicked some butt,4.63,0.84,4.97,0.18,3.7,1.24,2.4,0.48,1.7,1.28,0.36,0.4,0.14
