Expression,Unknown,Mean_C,SD_C,N,Min,Max
courtesy light,3,3.6,1.6465452046971292,10,1,5
courtesy of,0,2.2,1.398411797560202,10,1,5
courtesy phone,0,3.6363636363636362,1.3618169680781094,11,1,5
courtesy title,1,1.9,0.9944289260117533,10,1,4
courtesy visit,1,2.5454545454545454,1.2933395813657265,11,1,4
courtly love,2,1.8,1.0327955589886444,10,1,4
courtroom lawyer,0,4.454545454545454,0.6875516509523286,11,3,5
courtroom sketch,1,4.3,0.48304589153964794,10,4,5
courts martial,6,3.75,1.1832159566199232,16,1,5
courts-martial,3,3.1818181818181817,1.1677484162422844,11,2,5
cousin brother,3,4,1.632993161855452,10,1,5
cousin sister,3,3.7,1.1595018087284057,10,2,5
couta boat,12,4.583333333333333,0.90033663737852,12,2,5
covalent bond,5,3.7058823529411766,1.403776419268438,17,1,5
covenant of salt,4,2.2,1.398411797560202,10,1,5
cover a lot of ground,0,2.090909090909091,1.044465935734187,11,1,4
cover a multitude of sins,1,1.7,1.0593499054713802,10,1,4
cover all one's bases,0,2.0833333333333335,1.3113721705515067,12,1,5
cover charge,0,4,1.4142135623730951,10,1,5
cover for,0,1.8,1.0327955589886444,10,1,3
cover for me,0,3,1.3333333333333333,10,1,5
cover for someone,0,3.1,0.7378647873726218,10,2,4
cover girl,1,3.4,1.2649110640673518,10,1,5
cover in,4,2.5454545454545454,1.2135597524338357,11,1,4
cover letter,0,4.7,0.48304589153964794,10,4,5
cover note,0,3.6363636363636362,1.433368568981982,11,1,5
cover one's back,0,2.7,0.9486832980505138,10,1,4
cover one's bases,0,1.1,0.31622776601683794,10,1,2
cover one's feet,0,2.8,1.6193277068654826,10,1,5
cover ones tracks,0,1.6,0.699205898780101,10,1,3
cover over,1,2.9,1.1972189997378648,10,2,5
cover page,1,4.7,0.48304589153964794,10,4,5
cover plate,3,4.545454545454546,0.6875516509523286,11,3,5
cover sheet,0,4.5,0.7071067811865476,10,3,5
cover slip,0,3.4,1.577621275493231,10,1,5
cover story,2,3.7,1.4181364924121764,10,1,5
cover up,0,2.5454545454545454,1.2933395813657265,11,1,5
cover version,1,2.9,1.3703203194062976,10,1,5
cover your tracks,0,2.5454545454545454,1.2933395813657265,11,1,5
cover-up,0,2.7,1.70293863659264,10,1,5
covered couch,1,4.411764705882353,0.7952062255644573,17,2,5
covered stadium,0,4.7,0.48304589153964794,10,4,5
covered stand,2,4,1.4907119849998598,10,1,5
covered wagon,0,4.5,0.8498365855987975,10,3,5
covering fire,0,2.8,1.6193277068654826,10,1,5
covering letter,3,4.5,0.5270462766947299,10,4,5
covering material,1,3.4,1.1737877907772674,10,1,5
covering note,3,2.727272727272727,1.348399724926484,11,1,5
covering space,2,2.9,1.1005049346146119,10,1,5
covert operation,0,2.4545454545454546,1.3684762594679065,11,1,5
cow barn,1,4.666666666666667,0.9701425001453319,18,1,5
cow dung,3,4.533333333333333,0.9154754164341269,15,2,5
cow head,1,4.636363636363637,0.674199862463242,11,3,5
cow hitch,2,3.9,0.9944289260117533,10,2,5
cow man,3,3.2,1.6193277068654826,10,1,5
cow manure,0,4.545454545454546,0.5222329678670935,11,4,5
cow milk,0,4.5,0.97182531580755,10,2,5
cow parsnip,4,3.090909090909091,1.1361818036340359,11,1,5
cow pasture,0,4.3,1.2516655570345725,10,1,5
cow pat,2,4.4,0.699205898780101,10,3,5
cow patty,0,4.636363636363637,0.8090398349558905,11,3,5
cow pen,7,4.5,1.0801234497346435,10,2,5
cow pie,4,3.5,1.8408935028645435,10,1,5
cow town,2,3.1,1.449137674618944,10,1,5
cowards may die many times before their death,1,1.9090909090909092,1.1361818036340359,11,1,5
cowboy boot,0,4.454545454545454,1.2135597524338357,11,2,5
cowboy boots,0,4.8,0.4216370213557839,10,4,5
cowboy film,0,3.6,1.1737877907772674,10,2,5
cowboy hat,1,4.5,1.2692955176439846,10,1,5
cowboy movie,1,4.1,1.1972189997378648,10,2,5
cowboys and Indians,0,3.9,1.1972189997378648,10,2,5
cowgirl position,1,3.8,1.4757295747452437,10,1,5
cowl neck,2,3.8,1.7511900715418263,10,1,5
cozy up,1,2.5,1.509230856356236,10,1,5
cozy up to,0,2.5,1.243163121016122,12,1,5
cpu board,2,4.4,1.3498971154211057,10,1,5
crab apple,3,4.4,1.2649110640673518,10,1,5
crab boil,3,4,1.4142135623730951,10,1,5
crab cake,1,5,0,11,5,5
crab cocktail,0,4.2,1.4757295747452437,10,1,5
crab grass,3,4.6,0.5163977794943222,10,4,5
crab legs,0,5,0,10,5,5
crab meat,0,4.6,0.699205898780101,10,3,5
crab mentality,2,1.4,0.5163977794943222,10,1,2
crab salad,0,4.75,0.621581560508061,12,3,5
crab soup,0,4.181818181818182,1.0787197799411874,11,2,5
crab stick,2,4.5,0.8498365855987975,10,3,5
crabby person,0,1.9,1.1005049346146119,10,1,4
crack a book,0,2.6,1.3498971154211057,10,1,5
crack a joke,0,2.25,1.5447859516333116,12,1,5
crack a smile,0,3.2,1.4757295747452437,10,1,5
crack addict,1,3.7,0.9486832980505138,10,3,5
crack baby,13,2.769230769230769,1.535895295576609,13,1,5
crack cocaine,0,4.4,0.9660917830792959,10,2,5
crack den,1,4,1.3333333333333333,10,1,5
crack down,0,2.9,1.1972189997378648,10,1,5
crack down on,1,2.1,1.286683937707919,10,1,4
crack house,0,3.7,1.3374935098492586,10,1,5
crack into,0,2.1,0.8755950357709131,10,1,3
crack me up,0,1.8,1.2292725943057183,10,1,5
crack of dawn,0,2.4,1.6465452046971292,10,1,5
crack of doom,4,1.9,0.8755950357709131,10,1,3
crack on,1,1.6,1.0749676997731399,10,1,4
crack on with,2,2.090909090909091,1.044465935734187,11,1,4
crack onto,2,2.8181818181818183,1.5374122295716148,11,1,5
crack rock,1,4,1.3333333333333333,10,1,5
crack shot,1,2.4,1.7126976771553504,10,1,5
crack someone up,0,1.8,0.9189365834726815,10,1,3
crack the line-up,2,1.8,0.7888106377466155,10,1,3
crack the whip,0,2.9,1.66332999331662,10,1,5
crack this case,0,2,1.247219128924647,10,1,5
crack through,1,2.5,1.1785113019775793,10,1,5
crack under the strain,0,2.4545454545454546,1.3684762594679065,11,1,5
crack up,1,2.1,0.9944289260117533,10,1,4
cracked skin,0,4.454545454545454,1.0357254813546264,11,2,5
cracked up to be,0,1.5454545454545454,0.9341987329938275,11,1,4
cracked wheat,2,4.4,1.0749676997731399,10,2,5
cracked-wheat bread,0,4.909090909090909,0.30151134457776363,11,4,5
crackle china,4,3.2,1.4757295747452437,10,1,5
crackpot,0,2.9,1.66332999331662,10,1,5
cradle cap,2,3.5454545454545454,1.572490786213793,11,1,5
cradle robber,0,2.5,1.4337208778404378,10,1,5
cradle-to-grave,1,2.2,1.5491933384829668,10,1,5
craft fair,0,4.181818181818182,1.2504544628399563,11,2,5
craft knife,0,4.2727272727272725,0.7862453931068965,11,3,5
craft shop,0,4.2,1.4757295747452437,10,1,5
craft wonderland,5,3.7,1.1595018087284057,10,2,5
crafts centre,2,4.2,1.2292725943057183,10,2,5
cram in,2,2.5294117647058822,1.1788578719900635,17,1,4
cram into,0,2.9,1.3703203194062976,10,1,5
cram school,2,3,1.4142135623730951,10,1,5
cramp iron,8,3.6666666666666665,1.137592917989042,18,1,5
cramp someone's style,0,1.8,0.9189365834726815,10,1,4
cramp your style,0,2.1818181818181817,1.2504544628399563,11,1,4
cranberry juice,0,4.4,1.2649110640673518,10,1,5
cranberry sauce,0,4.6,0.699205898780101,10,3,5
crane barge,2,4.5,1.2692955176439846,10,1,5
crane fly,1,3.6,1.429840705968481,10,1,5
crane operator,0,4.2,1.1352924243950935,10,2,5
cranial cavity,0,3.5833333333333335,1.4433756729740645,12,1,5
crank,1,4.090909090909091,1.044465935734187,11,2,5
crank angle degree,5,3.2,1.4757295747452437,10,1,5
crank call,0,3,1.1547005383792515,10,1,5
crank caller,1,3.3,1.3374935098492586,10,1,5
crank handle,3,3.5,1.6499158227686108,10,1,5
crank into gear,0,1.8,1.0327955589886444,10,1,4
crank issue,1,3.4,1.1737877907772674,10,1,5
crank it up,0,2.6,1.0749676997731399,10,1,4
crank out,0,2,1.0540925533894598,10,1,4
crank science,2,2.3333333333333335,1.3026778945578592,12,1,5
crank up,0,2.272727272727273,1.348399724926484,11,1,4
crap,0,3.6,1.6465452046971292,10,1,5
crap artist,2,2.5,0.8498365855987975,10,2,4
crap game,0,3.2,1.8135294011647258,10,1,5
crap hole,0,3.090909090909091,1.4459976109624424,11,1,5
crap on,1,2,1.1547005383792515,10,1,4
crap one's pants,0,3,1.4907119849998598,10,1,5
crap out,0,1.8,0.7888106377466155,10,1,3
crap shooting,2,3.090909090909091,1.7002673586554236,11,1,5
crap up,2,2.3,1.5670212364724212,10,1,5
crape myrtle,11,4.25,1.0552897060221726,12,2,5
crash a party,0,3.1,1.1972189997378648,10,2,5
crash and burn,0,2.8,1.0327955589886444,10,1,4
crash barrier,0,4.4,0.699205898780101,10,3,5
crash course,1,2.2,0.7888106377466155,10,1,3
crash diet,1,2.6,1.0749676997731399,10,1,4
crash dive,2,3.4,1.776388345929897,10,1,5
crash down,0,2.7,1.0593499054713802,10,1,4
crash helmet,1,4.4,0.9660917830792959,10,2,5
crash land,2,3.7333333333333334,1.3870146083619754,15,1,5
crash landing,0,3.8333333333333335,1.3371158468430429,12,1,5
crash out,0,2.4,1.0749676997731399,10,1,4
crash out of,0,2.5,1.2692955176439846,10,1,5
crash pad,3,4.4,0.8432740427115678,10,3,5
crash program,0,2.8,1.3165611772087666,10,1,5
crash space,7,3.5833333333333335,1.0836246694508318,12,1,5
crash test,0,3.8,1.2292725943057183,10,2,5
crash-test dummy,0,4,1.4142135623730951,10,1,5
crater lake,1,4.7,0.6749485577105528,10,3,5
crater rim,1,4.363636363636363,1.1200649331826502,11,2,5
crave for,0,1.8,1.4757295747452437,10,1,5
crawfish out,4,2.7,1.8287822299126937,10,1,5
crawl in,0,3.3,1.0593499054713802,10,1,4
crawl off,0,3.272727272727273,1.4206272622267313,11,1,5
crawl space,0,4,0.816496580927726,10,2,5
crawl with,4,2.9,1.3703203194062976,10,1,5
crawler crane,1,4.3,0.8232726023485646,10,3,5
crawling with,0,2.909090909090909,1.4459976109624424,11,1,5
crayola crayon,1,4.6,0.5163977794943222,10,4,5
crayon drawing,0,4.1,1.1972189997378648,10,2,5
crazy about,0,2.8,1.3165611772087666,10,1,5
crazy as a loon,3,1.2777777777777777,0.7519039015221181,18,1,4
crazy bone,0,2,1.1547005383792515,10,1,4
crazy for,2,1.2,0.4216370213557839,10,1,2
crazy glue,0,4.4,0.699205898780101,10,3,5
crazy golf,3,3.5,1.0801234497346435,10,1,5
crazy horse,2,2.3636363636363638,1.433368568981982,11,1,5
crazy house,0,3,1.7638342073763937,10,1,5
crazy paving,5,3.1,1.1005049346146119,10,1,5
crazy quilt,4,3.6363636363636362,1.5015143870590966,11,1,5
cream cheese,0,4.4,1.0749676997731399,10,2,5
cream cracker,0,4.615384615384615,0.7679476477883045,13,3,5
cream liqueur,0,4.7,0.6749485577105528,10,3,5
cream of tartar,1,4.181818181818182,1.1677484162422844,11,2,5
cream of the crop,0,2.5454545454545454,1.2135597524338357,11,1,5
cream off,7,2.2,1.2292725943057183,10,1,4
cream pie,0,4.5,0.8498365855987975,10,3,5
cream pitcher,2,4.7,0.6749485577105528,10,3,5
cream puff,0,4.5,0.5270462766947299,10,4,5
cream rises to the top,1,2.4,1.837873166945363,10,1,5
cream sauce,0,4.4,0.8432740427115678,10,3,5
cream soda,0,4.647058823529412,0.6063390625908325,17,3,5
cream tea,1,4.636363636363637,0.674199862463242,11,3,5
cream up,3,2.2,1.2292725943057183,10,1,4
cream you,6,2.272727272727273,1.1908743922772957,11,1,4
crease up,6,2.6,1.776388345929897,10,1,5
create from raw stuff,0,2.6,1.505545305418162,10,1,5
creation science,1,2.4,0.699205898780101,10,1,3
creative accounting,1,3.2,1.3165611772087666,10,1,5
creative activity,0,2.4,1.1737877907772674,10,1,5
creative differences,1,2.2,1.5491933384829668,10,1,5
creative director,0,3.090909090909091,1.5782614139961386,11,1,5
creative person,0,3.9,0.8755950357709131,10,3,5
creative thinker,0,1.9090909090909092,1.1361818036340359,11,1,4
creative thinking,1,1.5,1.0801234497346435,10,1,4
creative writing,0,3.1,1.2523661815266247,20,1,5
creature comfort,2,2.1,1.1972189997378648,10,1,4
creature comforts,1,2.4,1.429840705968481,10,1,5
creature feature,1,2.5454545454545454,1.4396969378057567,11,1,5
credibility gap,5,2.4,1.3498971154211057,10,1,4
credit account,0,3.8,1.398411797560202,10,1,5
credit analyst,0,3.272727272727273,1.4893561757289013,11,1,5
credit application,0,3.3,1.3374935098492586,10,2,5
credit bureau,1,3.8,1.6193277068654826,10,1,5
credit card,0,4.9,0.31622776601683794,10,4,5
credit crunch,1,2.4166666666666665,1.0836246694508318,12,1,4
credit default swap,7,2.6,1.577621275493231,10,1,5
credit entry,1,2.4,1.6465452046971292,10,1,5
credit history,1,2.909090909090909,1.7580981459830651,11,1,5
credit hour,7,2.6,1.429840705968481,10,1,5
credit limit,0,3.7,1.5670212364724212,10,1,5
credit line,2,2,1.247219128924647,10,1,4
credit loss,0,2.8,1.5491933384829668,10,1,5
credit note,0,3.1,1.66332999331662,10,1,5
credit order,1,3.4,0.9660917830792959,10,2,5
credit rating,0,2.272727272727273,1.348399724926484,11,1,5
credit risk,0,2.3,1.4944341180973264,10,1,5
credit score,0,3.7,1.5670212364724212,10,1,5
credit side,7,2.6,1.1737877907772674,10,1,4
credit slip,4,3.3636363636363638,1.433368568981982,11,1,5
credit squeeze,1,3.3,1.4181364924121764,10,1,5
credit system,0,3.5,1.35400640077266,10,1,5
credit terms,1,2.7,1.1595018087284057,10,1,4
credit to,0,2,1.632993161855452,10,1,5
credit transfer,0,2.7,1.5670212364724212,10,1,5
credit union,0,4.2,1.2292725943057183,10,1,5
credit where credit's due,1,2.3,1.5670212364724212,10,1,5
credit with,0,2.5,1.509230856356236,10,1,5
creek bed,0,4,0.816496580927726,10,3,5
creep by,0,2.4,0.9660917830792959,10,1,4
creep in,0,2.9,1.449137674618944,10,1,5
creep into,0,2.9,1.286683937707919,10,1,5
creep off,2,3.272727272727273,1.4893561757289013,11,1,5
creep out,0,1.6,0.8432740427115678,10,1,3
creep out on,1,1.7,0.8232726023485646,10,1,3
creep over,0,2.7,1.2516655570345725,10,1,5
creep someone out,0,1.9090909090909092,1.2210278829367867,11,1,5
creep up,1,2.4,1.1737877907772674,10,1,4
creep up on,2,3.3,1.5670212364724212,10,1,5
creeping bent,13,1.9,0.9944289260117533,10,1,4
creeping bugle,4,2.9,0.9944289260117533,10,1,4
creeping jenny,6,1.8,1.01418510567422,15,1,4
creeping plant,1,4.3,1.2516655570345725,10,1,5
creeping spike rush,6,2.5454545454545454,1.5075567228888183,11,1,5
creepy crawlies,0,2.1,0.9944289260117533,10,1,4
cremation chamber,0,4.722222222222222,0.6691131580686884,18,3,5
creme anglaise,12,4.357142857142857,1.15072838853303,14,1,5
creme brulee,0,4.3,1.2516655570345725,10,1,5
crème brulee,1,4.863636363636363,0.35125008665710444,22,4,5
crème brulée,0,4.545454545454546,1.2135597524338357,11,1,5
creme caramel,0,3.8,1.6865480854231356,10,1,5
creme de fraise,5,4.545454545454546,1.2135597524338357,11,1,5
creme de la creme,1,2.6,1.1737877907772674,10,1,5
crème de la crème,6,2.1636363636363636,1.4111150878811378,55,1,5
creme de menthe,6,4.5,0.8498365855987975,10,3,5
crème de menthe,18,4.260869565217392,0.963770592485946,23,2,5
creme fraiche,3,4.8,0.4216370213557839,10,4,5
cremes brulees,2,4.4,0.8432740427115678,10,3,5
cremes caramels,2,4.2,1.1352924243950935,10,2,5
cremes de menthe,2,4.3,0.8232726023485646,10,3,5
crenate leaf,5,4.4,0.8432740427115678,10,3,5
crepe fern,4,4,1.247219128924647,10,1,5
crepe flower,7,4.8,0.4216370213557839,10,4,5
crepe pan,0,4.909090909090909,0.30151134457776363,11,4,5
crepe paper,1,4.4,1.2649110640673518,10,1,5
crepe suzette,4,3.2,1.4757295747452437,10,1,5
crescent moon,0,4.090909090909091,1.300349603340998,11,1,5
crescent roll,0,4.6,0.699205898780101,10,3,5
crescent wrench,0,4.7,0.6749485577105528,10,3,5
cress plant,2,5,0,11,5,5
crest of a wave,1,2.9,1.5238839267549948,10,1,5
crestless wave,1,3.2777777777777777,1.3197840980097757,18,1,5
crew cut,2,3.6,1.6465452046971292,10,1,5
crew member,0,3.4,1.2649110640673518,10,1,5
crew neck,0,4.3,1.2516655570345725,10,1,5
crew neckline,1,4.4,0.699205898780101,10,3,5
cri de coeur,17,1.9230769230769231,0.9540735874430285,13,1,3
crib board,3,3.909090909090909,1.3751033019046572,11,2,5
crib death,2,3.272727272727273,1.4893561757289013,11,1,5
crib note,1,3.4,1.505545305418162,10,1,5
crib sheet,3,4.1,1.5238839267549948,10,1,5
cribbage board,0,4.1,1.1972189997378648,10,2,5
cricket ball,0,4.818181818181818,0.40451991747794525,11,4,5
cricket bat,0,4.4,1.0749676997731399,10,2,5
cricket club,4,4.2,1.1464230084422218,15,2,5
cricket equipment,1,3.9,1.3703203194062976,10,1,5
cricket frog,4,4.5,1.2692955176439846,10,1,5
cricket ground,3,3.9,1.449137674618944,10,1,5
cricket helmet,1,4.545454545454546,1.2135597524338357,11,1,5
cricket match,1,4.363636363636363,1.2060453783110545,11,1,5
cricket pitch,1,4.2727272727272725,1.009049958219026,11,2,5
crime doesn't pay,0,2.3636363636363638,1.2060453783110545,11,1,4
crime figure,0,2.909090909090909,1.2210278829367867,11,1,5
crime of passion,0,2.3636363636363638,1.3618169680781094,11,1,5
crime prevention,0,2.5,1.6499158227686108,10,1,5
crime rate,0,2.6363636363636362,1.2862913567871994,11,1,5
crime scene,0,4.5,0.7071067811865476,10,3,5
crime story,1,3.4,1.577621275493231,10,1,5
crime syndicate,1,3.5454545454545454,1.4396969378057567,11,1,5
crime wave,0,3.6,1.505545305418162,10,1,5
criminal activities,0,3.1,1.3703203194062976,10,1,5
criminal contempt,2,2.3,1.4181364924121764,10,1,5
criminal court,0,3.2,1.0327955589886444,10,1,4
criminal damage,0,3.1,1.3703203194062976,10,1,5
criminal defense attorney,0,4.1,1.1005049346146119,10,2,5
criminal defense lawyer,0,3.9,1.449137674618944,10,1,5
criminal investigation,0,3.9,0.9944289260117533,10,2,5
criminal law,0,3.1,1.728840330651992,10,1,5
criminal lawyer,1,4.5,0.97182531580755,10,2,5
criminal negligence,0,2.4,1.577621275493231,10,1,5
criminal offence,0,2.7,1.5670212364724212,10,1,5
criminal offense,0,2.8,1.4757295747452437,10,1,5
criminal procedure,0,3.6363636363636362,1.5666989036012806,11,1,5
criminal record,0,3.8,1.2292725943057183,10,2,5
criminal suit,1,3.3,1.70293863659264,10,1,5
crimson clover,3,4.2727272727272725,1.1908743922772957,11,2,5
crinkle up,1,4.2,0.9189365834726815,10,2,5
crisis intervention,1,2.5,1.4337208778404378,10,1,5
crisis management,0,2.6,1.429840705968481,10,1,5
crisis of confidence,0,1.4,0.5163977794943222,10,1,2
crisis of conscience,1,1.9,1.3703203194062976,10,1,5
crispy bacon,0,5,0,10,5,5
criss-cross applesauce,0,1.9090909090909092,1.4459976109624424,11,1,5
cristobal colon,6,3,1.5634719199411433,10,1,5
critical analysis,0,2.7,1.2516655570345725,10,1,5
critical angle,3,3.1818181818181817,1.662418829187267,11,1,5
critical appraisal,1,2.090909090909091,1.3751033019046572,11,1,4
critical care,0,3.3,1.2516655570345725,10,1,4
critical incident stress management,2,2.2,1.2292725943057183,10,1,5
critical list,1,2.4,1.1737877907772674,10,1,4
critical load,0,2.6363636363636362,1.5015143870590966,11,1,5
critical mass,0,2.4,1.2649110640673518,10,1,5
critical path,1,2.769230769230769,1.4806443503784736,13,1,5
critical point,0,3.272727272727273,1.555050423035156,11,1,5
critical review,3,2.6470588235294117,1.6179144164088315,17,1,5
critical theory,0,2.25,1.4847711791873706,12,1,5
critical thinking,0,2.1,1.449137674618944,10,1,5
critical update,0,2.727272727272727,1.7372915179041823,11,1,5
critical-path method,6,2.7,1.5670212364724212,10,1,5
critically ill,1,3.8181818181818183,1.1677484162422844,11,1,5
critter sitter,2,2.6,1.6465452046971292,10,1,5
cro-magnon man,14,3.466666666666667,1.505545305418162,15,1,5
crochet hook,1,4.6923076923076925,0.6304251719561152,13,3,5
crochet needle,0,4.7,0.6749485577105528,10,3,5
crochet pattern,0,4.2,1.398411797560202,10,1,5
crochet stitch,0,4,1.651445647689541,12,1,5
crock pot,0,4.8,0.4216370213557839,10,4,5
crock up,10,2.272727272727273,1.2720777563426766,11,1,4
crocodile clip,5,3.8181818181818183,1.0787197799411874,11,2,5
crocodile tear,0,3.4,1.577621275493231,10,1,5
crocodile tears,0,2,1.3333333333333333,10,1,5
Crohn's disease,0,4,1.247219128924647,10,1,5
croo monkey,6,4.8,0.4216370213557839,10,4,5
crooked as a dog's hind leg,0,2.7,1.5670212364724212,10,1,5
crooked needle,2,4,1.2649110640673518,11,1,5
crookneck squash,8,4.1,1.1005049346146119,10,2,5
crop circle,2,4.75,0.45226701686664544,12,4,5
crop duster,4,4.5,0.7071067811865476,10,3,5
crop dusting,0,3.090909090909091,1.3751033019046572,11,1,5
crop pants,0,4.181818181818182,1.2504544628399563,11,1,5
crop rotation,1,3.5454545454545454,1.3684762594679065,11,1,5
crop spraying,0,3.8,1.1352924243950935,10,2,5
crop top,0,4.4,0.5163977794943222,10,4,5
crop up,3,1.8,1.0327955589886444,10,1,4
cropped pants,0,4.6,0.5163977794943222,10,4,5
croquet ball,1,5,0,10,5,5
croquet equipment,0,4.5,1.2692955176439846,10,1,5
croquet mallet,0,3.4,1.505545305418162,10,1,5
cross a line,0,2.272727272727273,1.4893561757289013,11,1,5
cross bat,6,3.2,1.398411797560202,10,1,5
cross benches,6,3.1333333333333333,1.3020130933435712,15,1,5
cross bow,1,4.909090909090909,0.30151134457776363,11,4,5
cross bun,8,4.2,1.3165611772087666,10,1,5
cross channel,3,2.5,1.0801234497346435,10,1,4
cross check,0,2.9,1.286683937707919,10,1,5
cross compiler,12,3.0833333333333335,1.3113721705515067,12,1,5
cross country,1,3.6,1.3498971154211057,10,1,5
cross dressing,0,3.6,1.1737877907772674,10,1,5
cross examination,0,3.2,1.3165611772087666,10,1,5
cross examine,0,3.4,1.2649110640673518,10,2,5
cross fertilization,1,3.272727272727273,1.348399724926484,11,1,5
cross fire,1,2.909090909090909,1.513574937328539,11,1,5
cross hair,2,3.142857142857143,1.4600918230947435,14,1,5
cross hairs,0,3.5,0.97182531580755,10,2,5
cross head,6,3.2,1.2292725943057183,10,1,5
cross infection,0,3.3,1.8287822299126937,10,1,5
cross my heart,0,1.5,0.8498365855987975,10,1,3
cross my heart and hope to die,0,2.272727272727273,1.4893561757289013,11,1,5
cross off,1,2.8,1.6193277068654826,10,1,5
cross one's arms,0,3.8181818181818183,1.662418829187267,11,1,5
cross one's fingers,0,3.3,1.2516655570345725,10,2,5
cross oneself,3,2.5,1.6499158227686108,10,1,5
cross out,0,3.4545454545454546,1.5075567228888183,11,1,5
cross over,0,2.2,1.3165611772087666,10,1,5
cross over into,0,1.9090909090909092,1.044465935734187,11,1,4
cross over jordan,12,2.1,1.449137674618944,10,1,4
cross over to,0,3.3,0.8232726023485646,10,2,5
cross over to the other side,0,2.4,0.9660917830792959,10,1,4
cross paths,0,3.1666666666666665,1.2673044646258476,12,1,5
cross pollinate,1,3.6,0.9660917830792959,10,2,5
cross purposes,1,2.6,1.0749676997731399,10,1,4
cross question,2,2.2,1.7511900715418263,10,1,5
cross reference,1,2.5,1.286019499792345,14,1,5
cross section,1,3.3,1.2516655570345725,10,1,5
cross someone,0,1.9166666666666667,1.0836246694508318,12,1,4
cross someone's palm,1,2.4545454545454546,1.572490786213793,11,1,5
cross someone's path,0,2.1,1.1005049346146119,10,1,4
cross stitch,0,4,1.247219128924647,10,2,5
cross street,0,3.7,1.4181364924121764,10,1,5
cross swords,1,3.4,1.3498971154211057,10,2,5
cross that bridge when i come to it,0,1.8,1.398411797560202,10,1,5
cross that bridge when one comes to it,1,1.7272727272727273,1.1908743922772957,11,1,5
cross that bridge when one gets there,0,1.4,0.699205898780101,10,1,3
cross that bridge when one gets to it,0,1.5,1.2692955176439846,10,1,5
cross that bridge when we come to it,0,2.3,1.5670212364724212,10,1,5
cross that bridge when you come to it,0,2,1.4907119849998598,10,1,5
cross the aisle,1,3.1,1.3703203194062976,10,1,5
cross the line,1,2.4,1.1737877907772674,10,1,4
cross the river,0,3.8,1.2292725943057183,10,2,5
cross the rubicon,7,2.5,1.4337208778404378,10,1,5
cross through,3,2.6,1.1832159566199232,15,1,5
cross to bear,2,1.5,0.7071067811865476,10,1,3
cross town,1,3.7,1.0593499054713802,10,2,5
cross trade,3,3,1.3416407864998738,11,1,5
cross up,1,2.1,0.9944289260117533,10,1,4
cross wire,3,3.7,1.4944341180973264,10,1,5
cross your fingers,1,2.5454545454545454,1.2933395813657265,11,1,5
cross your mind,0,2,1.3333333333333333,10,1,5
cross-country,0,3.3,1.2516655570345725,10,1,5
cross-country jumping,2,3.2,1.5491933384829668,10,1,5
cross-country riding,0,3.8,1.398411797560202,10,1,5
cross-country skiing,0,4.2,0.9189365834726815,10,3,5
cross-examination,0,2.8,1.0327955589886444,10,1,4
cross-examine,0,2.5,1.509230856356236,10,1,5
cross-eyed,0,4.2727272727272725,1.2720777563426766,11,1,5
cross-legged,0,3.7,1.3374935098492586,10,2,5
cross-purpose,0,1.9090909090909092,0.8312094145936335,11,1,3
cross-purposes,2,1.8,0.7888106377466155,10,1,3
cross-reference,0,2.9,1.5951314818673865,10,1,5
cross-training shoe,0,4.5,1.0801234497346435,10,2,5
crosscut handsaw,1,5,0,11,5,5
crosscut saw,0,4.7,0.48304589153964794,10,4,5
crossed cheque,6,3.3,1.636391694484477,10,1,5
crossed eye,0,4.7,0.48304589153964794,10,4,5
crossing guard,0,4,1.5491933384829668,11,1,5
crossing over,1,1.7,0.8232726023485646,10,1,3
crossover voter,2,3.6,1.1737877907772674,10,2,5
crossroad sign,0,4.7,0.48304589153964794,10,4,5
crossroads sign,0,4.2727272727272725,1.009049958219026,11,2,5
crossword puzzle,0,4.1,1.286683937707919,10,1,5
crotch hair,1,4.5,0.8498365855987975,10,3,5
croton bug,5,3.9,1.1972189997378648,10,1,5
croton oil,6,4.8,0.6324555320336759,10,3,5
crouch down,0,4.4,0.699205898780101,10,3,5
crouch over,1,3.7,1.5670212364724212,10,1,5
crow about,3,2.2,1.0327955589886444,10,1,4
crow bar,1,4.4,1.0749676997731399,10,2,5
crow foot,2,3.7,1.0593499054713802,10,2,5
crow nest,0,4.315789473684211,0.8200698871944031,19,3,5
crow scarer,0,3.2,1.4757295747452437,10,1,5
crow's feet,1,4,1.0540925533894598,10,2,5
crow's foot,2,4.1,0.8755950357709131,10,2,5
crow's nest,0,3.8,1.0327955589886444,10,2,5
crowd around,1,3,1.2060453783110545,12,2,5
crowd control,0,2.7,1.5670212364724212,10,1,5
crowd in,0,2.6,1.2649110640673518,10,1,5
crowd in on,0,2.3,0.9486832980505138,10,1,4
crowd into,2,3.3636363636363638,1.2060453783110545,11,2,5
crowd onto,3,2.6,1.429840705968481,10,1,5
crowd out,1,2.4,0.8432740427115678,10,1,3
crowd pleaser,1,2.909090909090909,1.1361818036340359,11,1,5
crowd pleasing,2,2.2,1.4757295747452437,10,1,5
crowd puller,1,3.2,1.3165611772087666,10,1,5
crowd round,7,2.6,1.2649110640673518,10,1,5
crowd-pleaser,2,2.1,1.3703203194062976,10,1,4
crown colony,3,2.9,1.5951314818673865,10,1,5
crown court,5,3.2,1.0327955589886444,10,2,5
