"","Participant","Survey","Platform","File_date","Thirty_plus","Incomplete","Do_not_know","Correlation","Exclude","RPS_ID","Prolific_ID","Gender","Gender_Self_Describe","Age","Ed_years","Uni_years","Ed_years_calc","English_first","English_fluent"
"1483","R_1gzLXZAZYAztbv3","List 6","RPS","11-Mar-20",FALSE,0.0068649885583524,0.0938215102974828,0.595990232156713,FALSE,32464,NA,"Female",NA,"19",NA,"2","14","Yes","Completely fluent"
"1484","R_ST7Ak0TMdYxaTgR","List 6","RPS","11-Mar-20",TRUE,0,0.0228310502283105,NA,NA,34286,NA,"Female",NA,"20",NA,"2","14","Yes","Completely fluent"
"1485","R_3NRiVSNfNOOLBxm","List 6","RPS","11-Mar-20",FALSE,0.00227272727272727,0.0136363636363636,0.533988926802052,FALSE,34520,NA,"Female",NA,"18",NA,"1","13","No","Very fluent"
"1486","R_2a9ug59SuTnpovW","List 6","RPS","11-Mar-20",FALSE,0,0.0707762557077626,0.850387390182495,FALSE,34441,NA,"Male",NA,"19",NA,"1","13","Yes","Completely fluent"
"1487","R_1hSSi3RaiNbViSI","List 6","RPS","11-Mar-20",FALSE,0,0.412300683371298,0.815580810468219,FALSE,32098,NA,"Female",NA,"19",NA,"2","14","No","Completely fluent"
"1488","R_31AtLP2s8hkCIyd","List 6","RPS","11-Mar-20",FALSE,0.00227272727272727,0.204545454545455,0.766506225545229,FALSE,31535,NA,"Female",NA,"19",NA,"2","14","Yes","Completely fluent"
"1489","R_1KcO4e9KLAhkEbN","List 6","RPS","11-Mar-20",FALSE,0,0.418764302059497,0.566234583958251,FALSE,34718,NA,"Female",NA,"18",NA,"1","13","No","Completely fluent"
"1490","R_AMcGIzDrlXM634Z","List 6","RPS","11-Mar-20",FALSE,0.011441647597254,0.121281464530892,0.451431862138921,FALSE,34818,NA,"Female",NA,"18",NA,"1","13","Yes","Very fluent"
"1491","R_33jVxDz1kwsYbjl","List 6","RPS","11-Mar-20",TRUE,0.9337899543379,0.0045662100456621,NA,NA,33944,NA,"Female",NA,"18",NA,"1","13","No","Very fluent"
"1492","R_1gSAZPDxtXH2tML","List 6","RPS","11-Mar-20",FALSE,0.00227272727272727,0.0477272727272727,0.655590378678291,FALSE,31915,NA,"Female",NA,"18",NA,"2","14","Yes","Completely fluent"
"1493","R_248cQ3mGePmCOju","List 6","RPS","11-Mar-20",TRUE,0.528473804100228,0.0478359908883827,NA,NA,31650,NA,"Female",NA,"19",NA,"2","14","Yes","Completely fluent"
"1494","R_1jvsOxu30CKtJIn","List 6","RPS","11-Mar-20",TRUE,1,0,NA,NA,33390,NA,"Female",NA,"30",NA,"7","19","No","Very fluent"
"1495","R_C90uqgRjCPw4ozn","List 6","RPS","02-Apr-20",FALSE,0,0,-0.426845346001295,TRUE,33321,NA,"Female",NA,"19",NA,"2","14","Yes","Completely fluent"
"1496","R_25FrRYXrU3YAF1O","List 6","RPS","02-Apr-20",FALSE,0,0.0275229357798165,0.341701933218962,FALSE,34022,NA,"Male",NA,"19",NA,"2","14","Yes","Completely fluent"
"1497","R_1gTlyumaleb0TOn","List 6","RPS","02-Apr-20",FALSE,0.00229885057471264,0.289655172413793,0.166772622719038,TRUE,34302,NA,"Female",NA,"20",NA,"3","15","No","Completely fluent"
"1498","R_2bTuHw64IBDIGhy","List 6","RPS","02-Apr-20",FALSE,0,0.180365296803653,0.758296299509947,FALSE,34767,NA,"Female",NA,"19",NA,"2","14","No","Very fluent"
"1499","R_10wRz90Z8y2LVmU","List 6","RPS","02-Apr-20",FALSE,0,0.194508009153318,0.7951825083488,FALSE,33096,NA,"Female",NA,"21",NA,"4","16","Yes","Completely fluent"
"1500","R_2sZQeVOJJuppass","List 6","RPS","02-Apr-20",FALSE,0,0.0136674259681093,0.756948419120283,FALSE,31902,NA,"Female",NA,"19",NA,"2","14","Yes","Completely fluent"
"1501","R_AiBsuXDcCNNxyLv","List 6","RPS","02-Apr-20",FALSE,0,0.0940366972477064,0.824143940450828,FALSE,31761,NA,"Female",NA,"19",NA,"2","14","Yes","Completely fluent"
"1502","R_ZDEEiYMQZNUdvbj","List 6","RPS","02-Apr-20",FALSE,0,0.604545454545454,0.845467027258095,FALSE,34038,NA,"Female",NA,"18",NA,"1","13","No","Completely fluent"
"1503","R_2xzPuAjPnPsV7Ke","List 6","RPS","02-Apr-20",FALSE,0,0.157175398633257,0.743211438261362,FALSE,34693,NA,"Female",NA,"19",NA,"2","14","No","Completely fluent"
