Expression,Type
accidental injury,Compound noun
angle of refraction,Idiom/Fixed expression
angle of view,Idiom/Fixed expression
angor animi,Idiom/Fixed expression
accounting firm,Compound noun
annuit coeptis,Idiom/Fixed expression
accounting package,Compound noun
annunciation day,Idiom/Fixed expression
annus horribilis,Idiom/Fixed expression
annus mirabilis,Idiom/Fixed expression
accumulation point,Compound noun
anorexia nervosa,Idiom/Fixed expression
antarctic circle,Idiom/Fixed expression
ace inhibitor,Compound noun
antarctic ocean,Idiom/Fixed expression
ante meridiem,Idiom/Fixed expression
ante mortem,Idiom/Fixed expression
ante up,Particle verb
antenna for a car,Idiom/Fixed expression
acid rain,Compound noun
acquaintance rape,Compound noun
actinic ray,Compound noun
any time,Idiom/Fixed expression
anzac day,Idiom/Fixed expression
apart from,Idiom/Fixed expression
active ingredient,Compound noun
appeal to,Particle verb
apple pie order,Idiom/Fixed expression
apple-pie order,Idiom/Fixed expression
apples and oranges,Idiom/Fixed expression
apples and pears,Idiom/Fixed expression
apply for,Particle verb
apply oneself,Idiom/Fixed expression
april fool's day,Idiom/Fixed expression
april fools day,Idiom/Fixed expression
april fools' day,Idiom/Fixed expression
active window,Compound noun
arbor day,Idiom/Fixed expression
archbishop of canterbury,Idiom/Fixed expression
arctic circle,Idiom/Fixed expression
additive inverse,Compound noun
argle-bargle morble whoosh,Idiom/Fixed expression
base down,Compound noun
adenosine triphosphate,Compound noun
argue like cat and dog,Idiom/Fixed expression
anthrax outbreak,Compound noun
audio output,Compound noun
air cover,Compound noun
argue the toss,Idiom/Fixed expression
bristle with,Particle verb
argumentum ad lazarum,Idiom/Fixed expression
chaim soutine,Compound noun
ark of the covenant,Idiom/Fixed expression
adjoining room,Compound noun
arm and a leg,Idiom/Fixed expression
arm candy,Idiom/Fixed expression
arm of the law,Idiom/Fixed expression
arm to the teeth,Idiom/Fixed expression
arm up,Particle verb
arm's length,Idiom/Fixed expression
arm's reach,Idiom/Fixed expression
armenian apostolic church,Idiom/Fixed expression
armistice day,Idiom/Fixed expression
army of the pure,Idiom/Fixed expression
arrange settlement,Idiom/Fixed expression
arriere pensee,Idiom/Fixed expression
arrive at,Particle verb
ars longa vita brevis,Idiom/Fixed expression
"ars longa, vita brevis",Idiom/Fixed expression
arsy varsy,Idiom/Fixed expression
arsy versy,Idiom/Fixed expression
adjusting entry,Compound noun
article of commerce,Idiom/Fixed expression
article of faith,Idiom/Fixed expression
articles of association,Idiom/Fixed expression
articles of confederation,Idiom/Fixed expression
administrative assistant,Compound noun
arts and crafts,Idiom/Fixed expression
as a group,Idiom/Fixed expression
as a result,Idiom/Fixed expression
as a rule,Idiom/Fixed expression
banking office,Compound noun
as for,Idiom/Fixed expression
as from,Idiom/Fixed expression
as if,Idiom/Fixed expression
as is,Idiom/Fixed expression
as of,Idiom/Fixed expression
ascension day,Idiom/Fixed expression
ascribe to,Particle verb
ash wednesday,Idiom/Fixed expression
administrative unit,Compound noun
aside from,Particle verb
asperger syndrome,Idiom/Fixed expression
asperger's syndrome,Idiom/Fixed expression
assault and battery,Idiom/Fixed expression
assemblies of god,Idiom/Fixed expression
assert oneself,Particle verb
associate of arts,Idiom/Fixed expression
condole with,Particle verb
assume the mantle,Idiom/Fixed expression
assume the position,Idiom/Fixed expression
adult intelligence,Compound noun
at a canter,Idiom/Fixed expression
at a glance,Idiom/Fixed expression
at a loose end,Idiom/Fixed expression
at a loss,Idiom/Fixed expression
at a low price,Idiom/Fixed expression
at a lower place,Idiom/Fixed expression
at an equal rate,Idiom/Fixed expression
at bat,Idiom/Fixed expression
at bay,Idiom/Fixed expression
at best,Idiom/Fixed expression
at bottom,Idiom/Fixed expression
at close range,Idiom/Fixed expression
at cross purposes,Idiom/Fixed expression
at cross-purposes,Idiom/Fixed expression
at ease,Idiom/Fixed expression
at fault,Idiom/Fixed expression
at first,Idiom/Fixed expression
at half-mast,Idiom/Fixed expression
at half-staff,Idiom/Fixed expression
at home,Idiom/Fixed expression
advance warning,Compound noun
at issue,Idiom/Fixed expression
at it,Idiom/Fixed expression
adverse opinion,Compound noun
advertising agency,Compound noun
at large,Idiom/Fixed expression
at last,Idiom/Fixed expression
at latter Lammas,Idiom/Fixed expression
at least,Idiom/Fixed expression
at leisure,Idiom/Fixed expression
at length,Idiom/Fixed expression
at liberty,Idiom/Fixed expression
at loggerheads,Idiom/Fixed expression
at night,Idiom/Fixed expression
at noon,Idiom/Fixed expression
at present,Idiom/Fixed expression
at random,Idiom/Fixed expression
at risk,Idiom/Fixed expression
at school,Idiom/Fixed expression
at sea,Idiom/Fixed expression
advertising campaign,Compound noun
atlantic canada,Idiom/Fixed expression
atlantic ocean,Idiom/Fixed expression
advertising department,Compound noun
attar of roses,Idiom/Fixed expression
attention deficit disorder,Idiom/Fixed expression
attention deficit hyperactivity disorder,Idiom/Fixed expression
attention to detail,Idiom/Fixed expression
attorney at law,Idiom/Fixed expression
attract attention,Idiom/Fixed expression
attract notice,Idiom/Fixed expression
attuned to,Particle verb
au contraire,Idiom/Fixed expression
au courant,Idiom/Fixed expression
au fait,Idiom/Fixed expression
au jus,Idiom/Fixed expression
au naturel,Idiom/Fixed expression
au revoir,Idiom/Fixed expression
au secours!,Idiom/Fixed expression
auction of promises,Idiom/Fixed expression
booking office,Compound noun
audi alteram partem,Idiom/Fixed expression
auf wiedersehen,Idiom/Fixed expression
auld lang syne,Idiom/Fixed expression
aurora australis,Idiom/Fixed expression
aurora borealis,Idiom/Fixed expression
australia day,Idiom/Fixed expression
australian state,Idiom/Fixed expression
avant garde,Idiom/Fixed expression
avant la lettre,Idiom/Fixed expression
avant-garde,Idiom/Fixed expression
ave atque vale,Idiom/Fixed expression
ave maria,Idiom/Fixed expression
bean sprout,Compound noun
bean sprouts,Compound noun
average up,Particle verb
advertising firm,Compound noun
azad jammu and kashmir,Idiom/Fixed expression
B and B,Idiom/Fixed expression
advice line,Compound noun
baby blues,Idiom/Fixed expression
baby up,Idiom/Fixed expression
bachelor of arts,Idiom/Fixed expression
advisory opinion,Compound noun
bachelor of music,Idiom/Fixed expression
bachelor of science,Idiom/Fixed expression
bachelors of arts,Idiom/Fixed expression
bachelors of science,Idiom/Fixed expression
back and fill,Idiom/Fixed expression
back away,Particle verb
affiliate marketing,Compound noun
affine geometry,Compound noun
back of,Particle verb
back onto,Particle verb
back order,Idiom/Fixed expression
back to back,Idiom/Fixed expression
back to front,Idiom/Fixed expression
backpedal,Idiom/Fixed expression
backward and forward,Idiom/Fixed expression
bacon and eggs,Idiom/Fixed expression
blackout lamp,Compound noun
boutique hotel,Compound noun
brown out,Compound noun
bail up,Particle verb
baju kurung,Idiom/Fixed expression
balaclava helmet,Idiom/Fixed expression
balance of payments,Idiom/Fixed expression
balance of power,Idiom/Fixed expression
balance of probabilities,Idiom/Fixed expression
balance of trade,Idiom/Fixed expression
Brussels sprout,Compound noun
balance the books,Idiom/Fixed expression
bus route,Compound noun
bale of hay,Idiom/Fixed expression
caoutchouc tree,Compound noun
bale up,Particle verb
ball of the foot,Idiom/Fixed expression
ball of wax,Idiom/Fixed expression
ball up,Particle verb
affine group,Compound noun
ball-breaker,Idiom/Fixed expression
balum rancum,Idiom/Fixed expression
band of partisans,Idiom/Fixed expression
band oneself,Particle verb
band-aid solution,Idiom/Fixed expression
bandage up,Particle verb
bandwagon effect,Idiom/Fixed expression
capital outlay,Compound noun
maneuver around,Particle verb
bandy words,Idiom/Fixed expression
bangers and mash,Idiom/Fixed expression
bank of england,Idiom/Fixed expression
bank on,Particle verb
bank up,Particle verb
banker's dozen,Idiom/Fixed expression
bankers' hours,Idiom/Fixed expression
banyan day,Idiom/Fixed expression
banzai charge,Idiom/Fixed expression
